,,,,,,,,,,,,,,,
,1,Year,Date,Employee,WO/SO,Part #,Product Family,Operation,QTY,Target Time,Actual Time,QTY Complete,Actual Time/Unit,Target/Unit,Root Cause
,45,2019,11/8,CS,29125,TSYNC-PCIE-9002,Timing ,Test,50,1200,225,0,,24,
,45,2019,11/8,DW,29125,TSYNC-PCIE-9002,Timing ,Test,50,1200,45,16,3,24,
,44,2019,10/28,CS,28824,1191-9000-0600,Timing ,Test,6,144,160,6,27,24,
,44,2019,10/28,CS,28778,TSYNC-PCIE-9002,Timing ,Assembly,25,200,150,25,6,8,
,44,2019,10/28,CS,28778,TSYNC-PCIE-9002,Timing ,Test,25,600,30,0,,24,
,46,2019,11/11,EE,28980,1200-213,SecureSync,Assembly,3,141,138,3,46,47,
,46,2019,11/11,EE,28976,1200-233,SecureSync,Assembly,3,141,295,3,98,47,
,46,2019,11/11,CS,29125,TSYNC-PCIE-9002,Timing ,Test,40,960,500,40,13,24,
,46,2019,11/11,DK,28995,1221-0011-0600,Timing ,Test,1,24,24,1,24,24,
,46,2019,11/11,DK,28960,1209-0012-0600,SecureSync,Test,8,256,120,8,15,32,
,46,2019,11/11,DK,28970,1200-003,SecureSync,Test,8,256,210,7,30,32,
,46,2019,11/11,PC,28984,1204-27,Option Cards,Assembly,12,120,440,12,37,10,
,46,2019,11/11,PC,61736,1200-013,Configuration,Assembly,10,100,25,2,13,10,
,46,2019,11/11,RD,29126,1204-11,Option Cards,Test,6,60,40,4,10,10,
,46,2019,11/11,RD,28978,1200-413,SecureSync,Test,1,32,25,1,25,32,
,46,2019,11/11,RD,28980,1200-213,SecureSync,Test,3,96,37,2,19,32,
,46,2019,11/11,RD,28990,1200-201,SecureSync,Test,1,32,21,1,21,32,
,46,2019,11/11,RD,29073,1200-201,SecureSync,Test,1,32,20,1,20,32,
,46,2019,11/11,RD,28976,1200-233,SecureSync,Test,3,96,40,0,,32,
,46,2019,11/11,RD,29123,1200-033,SecureSync,Test,10,320,15,0,,32,
,46,2019,11/11,JO,28970,1200-003,SecureSync,Assembly,8,376,180,8,23,47,
,46,2019,11/11,JO,29123,1200-033,SecureSync,Assembly,10,470,390,0,,47,
,46,2019,11/11,KP,28978,1200-413,SecureSync,Assembly,1,47,40,1,40,47,
,46,2019,11/11,KP,29073,1200-201,SecureSync,Assembly,1,47,68,1,68,47,
,46,2019,11/11,KP,28990,1200-201,SecureSync,Assembly,1,47,68,1,68,47,
,46,2019,11/11,KP,29122,1200-0437-0600,SecureSync,Assembly,6,282,270,0,,47,
,46,2019,11/12,KP,29122,1200-0437-0600,SecureSync,Assembly,6,282,135,6,23,47,
,46,2019,11/12,KP,28979,1209-0002-0600,SecureSync,Assembly,4,188,170,4,43,47,
,46,2019,11/12,KP,29128,1210-0002-0600,SecureSync,Assembly,6,282,140,0,,47,
,46,2019,11/12,DK,28984,1204-27,Option Cards,Assembly,18,180,240,18,13,10,
,46,2019,11/12,EE,29198,1200-233,SecureSync,Assembly,8,376,480,0,,47,
,46,2019,11/12,JO,29123,1200-033,SecureSync,Assembly,10,470,60,10,6,47,
,46,2019,11/12,JO,28992,1200-H033-0600,SecureSync,Assembly,3,141,120,3,40,47,
,46,2019,11/12,JO,29242,1200-033,SecureSync,Assembly,10,470,390,10,39,47,
,46,2019,11/12,CS,29199,TSYNC-PCIE-9002,Timing ,Test,50,1200,315,50,6,24,
,46,2019,11/12,CS,29170,1191-1001-0600,Timing ,Test,16,384,230,16,14,24,
,46,2019,11/12,RD,28976,1200-233,SecureSync,Test,3,96,85,3,28,32,
,46,2019,11/12,RD,29123,1200-033,SecureSync,Test,10,320,247,0,,32,
,46,2019,11/12,RD,29195,1204-2B,Option Cards,Test,3,30,18,3,6,10,
,46,2019,11/12,RD,29074,1204-3B,Option Cards,Test,3,30,5,0,,10,
,46,2019,11/12,RD,29122,1200-0437-0600,SecureSync,Test,6,192,150,6,25,32,
,46,2019,11/12,RD,28974,1209-0002-0600,SecureSync,Test,4,128,65,0,,32,
,46,2019,11/13,CS,29199,TSYNC-PCIE-9002,Timing ,Assembly,50,400,510,0,,8,
,46,2019,11/13,RD,28979,1209-0002-0600,SecureSync,Test,4,128,100,4,25,32,
,46,2019,11/13,RD,29129,1200-313,SecureSync,Test,1,32,18,1,18,32,
,46,2019,11/13,RD,29242,1200-003,SecureSync,Test,10,320,105,0,,32,
,46,2019,11/13,RD,29124,1204-32,Option Cards,Test,12,120,20,0,,10,
,46,2019,11/13,RD,29198,1200-233,SecureSync,Test,8,256,5,0,,32,
,46,2019,11/13,KP,29128,1210-0002-0600,SecureSync,Assembly,6,282,65,6,11,47,
,46,2019,11/13,KP,29129,1200-313,SecureSync,Assembly,1,47,42,1,42,47,
,46,2019,11/13,KP,29252,1200-011,SecureSync,Assembly,10,470,135,0,,47,
,46,2019,11/13,PC,61736,1200-013,Configuration,Assembly,8,80,80,8,10,10,
,46,2019,11/13,PC,29159,1209-0003-0600,SecureSync,Assembly,4,188,30,4,8,47,
,46,2019,11/13,PC,29171,1209-0001-0601,SecureSync,Assembly,1,47,9,1,9,47,
,46,2019,11/13,PC,62095,1200-003,Configuration,Assembly,1,10,7,1,7,10,
,46,2019,11/13,PC,62133,1200-003,Configuration,Assembly,2,20,10,2,5,10,
,46,2019,11/13,PC,61948,1200-013,Configuration,Assembly,1,10,7,1,7,10,
,46,2019,11/13,PC,61736,1200-013,Configuration,Assembly,1,10,10,1,10,10,
,46,2019,11/13,EE,29198,1200-233,SecureSync,Assembly,8,376,270,8,34,47,
,46,2019,11/13,EE,28996,1200-011,SecureSync,Assembly,10,470,175,0,,47,
,46,2019,11/13,JO,29250,1200-033,SecureSync,Assembly,10,470,435,10,44,47,
,46,2019,11/13,JO,29124,1204-32,Option Cards,Assembly,12,120,90,12,8,10,
,46,2019,11/13,JO,29201,1212-005X-0600,GSG,Assembly,10,900,45,0,,90,
,46,2019,11/14,EE,28996,1200-011,SecureSync,Assembly,10,470,195,10,20,47,
,46,2019,11/14,EE,29251,1200-013,SecureSync,Assembly,10,470,275,0,,47,
,46,2019,11/14,CS,29199,TSYNC-PCIE-9002,Timing ,Test,50,1200,170,50,3,24,
,46,2019,11/14,JO,29201,1212-005X-0600,GSG,Assembly,10,900,570,0,,90,
,46,2019,11/14,DK,28128,1210-0002-0600,SecureSync,Test,6,192,180,6,30,32,
